Title,Column,Labels,Assignees,Initiative,Milestone
Blog post page: make cards same width and length,Backlog,website,,,Team's own Continuous Improvement and Administration
Refine SW Assessment file exchange format,Backlog,,,,Sharing of Software Assessments
Independent Assessment transition approach,Backlog,,,,Z [pending] Transition to High Performing Org
Automate generation of PDF and docx for markdown pages,Backlog,Future release,,,Team's own Continuous Improvement and Administration
Send Proposed OCMC Presentation to Director,Backlog,Enabling,,,Z [pending] Automate software onboarding
Evolution of Application Catalogue,Backlog,,,,Z [pending] Automate software onboarding
"Present books ""The Architecture of Open Source Applications"" to ARC",Backlog,,,,
Blog - What is Agora OSS?,Backlog,Blog,,,
Confirm if possible to share SA&As and TRAs with other departments.,Backlog,"documentation, Open Source, strategies, toil, Outreach",,,Sharing of Software Assessments
"Evaluation framework for innovation ",Backlog,"strategies, ideation, Outreach, grassroot",,,
Comms Strategy To Promote Opening Up of Existing Docs,Backlog,,,,
Blog - Create Working in the Open post with maths on Why?,Backlog,Blog,,,
Blog - Blitz Meetings,Backlog,Blog,,,
"Blog - business rules are broken, not the system",Backlog,Blog,,,
Develop measurable performance indicators for PwC recommendations,Backlog,,,,Z [pending] Transition to High Performing Org
Get buy-in from S/W onboarding process owner (Enterprise Ops),Backlog,,,,Z [pending] Automate software onboarding
Guide for writing blog posts,Backlog,website,,,
PROPOSAL - Presentation that visualizes Loose Coupling Architecture,Backlog,,,,
Create guidance on proper metrics for a given team,Backlog,Future release,,,Z [pending] Transition to High Performing Org
Blog - Postmortem: what we learned,Backlog,Blog,,,
Align with PwC recomendations,Backlog,,,,Z [pending] Transition to High Performing Org
Blog - loose coupling for the non-techie,Backlog,Blog,,,
Git and GitHub 101,Backlog,Training,,,Team's own Continuous Improvement and Administration
Decide on service levels,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Analysis - Project Forecast vs Actuals,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Draft Pilot IITB Standard on Product Management,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Produce one pager (placemat) of Framework,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Book - The Delicate Art of Bureaucracy,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Review literature and current trends,Backlog,,,,Sharing of Software Assessments
Write draft Strategy,Backlog,,,,Sharing of Software Assessments
Finalize mockups of file exchange format and GCcode collaboration space,Backlog,,,,Sharing of Software Assessments
Get feedback from Gartner,Backlog,,,,Sharing of Software Assessments
Find potential GC departments willing to participate in a pilot,Backlog,,,,Sharing of Software Assessments
Update draft Strategy,Backlog,,,,Sharing of Software Assessments
Get feedback from ARC,Backlog,,,,Sharing of Software Assessments
Present Strategy and pilot proposal to governance committees,Backlog,,,,Sharing of Software Assessments
Document existing architecture software assessment process,Backlog,,gabrielcossette,,Sharing of Software Assessments
Get informal feedback and buy-in from architecture peers,Backlog,,gabrielcossette,,Sharing of Software Assessments
Prepare pilot,Backlog,,gabrielcossette,,Sharing of Software Assessments
"Launch pilot phase 1 (limited to architecture lens and non-critical COTS desktop apps) ",Backlog,,gabrielcossette,,Sharing of Software Assessments
Present initial pilot findings to Accessibility and Security teams,Backlog,,gabrielcossette,,Sharing of Software Assessments
Present pilot findings to governance committees for approval,Backlog,,gabrielcossette,,Sharing of Software Assessments
Update Team's Communication Strategy,Backlog,communications,"ElminaIusifova, LeighGardner",,Team's own Continuous Improvement and Administration
Investigate The Open Group DPBoKP,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Book - Value Stream Mapping,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Grassroots - e-Docket v2 (o365),Backlog,grassroot,,,Z [Pending[ - Ongoing advice and unplanned work
Presentation on OSS at IITB Showcase,Backlog,strategies,,,Z [Pending] Open First Strategy
Grassroot - Use ODF by default with M365,Backlog,grassroot,smellems,,Z [Pending[ - Ongoing advice and unplanned work
Upload ICCS OSS WG material to Github repo,Backlog,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
MA - brainstorm on external comms activities related to the fall launch,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
MA - plan for Martin to present at SLF?,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
MA - community chat - where? how?,Backlog,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
MA - opportunity statement for opportunity #2,Backlog,"initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Connect with the office of the procurement ombudsman,Backlog,"communications, initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Check in with Unions/HR on LDV procurement (GCDevEx),Backlog,"Outreach, initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Triage process for micro-acquisition requests,Backlog,"initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Fact Finding - Where does IITB spends its funds,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
get in touch with Interop on how they did SA&A with agile,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Get Salary distribution towards essential services,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Get must spends,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Get list of critical applications,Backlog,initiative:product,remyb2canada,initiative:product,Z [Pending] Investigation - Budget (priorities vs focus)
Fix the depreciation warnings,Backlog,,,,Team's own Continuous Improvement and Administration
Consultation with IITB,Backlog,strategies,,,Z [Pending] Open First Strategy
Periodic meetings with DG / Exec-Dir (like before) - less proxies for comms,Backlog,,,,Z [Pending[ - Ongoing advice and unplanned work
Presentation to CIOEC,Backlog,strategies,,,Z [Pending] Open First Strategy
Presentation to ESDC EARB,Backlog,strategies,,,Z [Pending] Open First Strategy
Draft Open First Strategy presentation,Backlog,strategies,,,Z [Pending] Open First Strategy
Investigate other governments,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Scan current state
Check in with TBS (and share knowledge),Backlog,,,,
"One Pager - ""Why Open First""",Backlog,,gabrielcossette,,Z [Pending] Open First Strategy
Collaborate with DevOps CoE on transformation approach,Backlog,,philipe-girard,,Z [Pending[ - Ongoing advice and unplanned work
Perform first round of consultations,Backlog,strategies,,,Z [Pending] Open First Strategy
SSC GC Enterprise Services potential partnership,Backlog,"strategies, Outreach",remyb2canada,,Z [Pending[ - Ongoing advice and unplanned work
"MA - Automate additions and subtractions from the mailing list excel file ",Backlog,"initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Develop the monitoring process,Backlog,"initiative:micro-acquisitions, on hold",,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Issue Blog Posts - Previous/Next buttons behaviour,Backlog,bug,,,Team's own Continuous Improvement and Administration
Draft Pilot IITB Standard on Financial Coding for Product Management,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Draft Pilot IITB Procedures on Product Management,Backlog,initiative:product,remyb2canada,initiative:product,
Peer Review - Pilot IITB Directive,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Peer Review - Pilot IITB Standard on Product Mgt,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Peer Review - Pilot IITB Standard on Financial Coding for Product Management,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Peer Review - Pilot IITB Procedures for Product Mgt,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Governance endorsement,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
PSPC - Phoenix split history,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
PSPC - buyandsell approach,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Consult Report,Backlog,initiative:iitb-diagnostic,"philipe-girard, JSantosPS",initiative:iitb-diagnostic,IITB Diagnostic Study
CS-02 Process Next Steps,Backlog,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Internal Services Portal - contact SSPB,Backlog,initiative:product,,initiative:product,Organizational Performance Measurement
Prepare Summary Deck of the WWH Report,Backlog,,"ElminaIusifova, philipe-girard, LeighGardner, JSantosPS",,IITB Diagnostic Study
Hire New CS-03,Backlog,,philipe-girard,,IM/IT Strategy and Planning HR Process
Product Adoption Plan,Backlog,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Add team calendar to a new Sharepoint,To do,,,,Team's own Continuous Improvement and Administration
Help TMD (previously TMOR) with Product Management day event 2022,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Scan current state
Book - PDMA's Product Development and Management BoK,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
PPMP (Project and Progarmme Management Practice) modernization feedback,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
IIN - Measuring Success,To do,Quarter 3,remyb2canada,,Team's own Continuous Improvement and Administration
JC OSS - Setup Github Pages site,To do,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
Conversation with DG for next year's focus,To do,,,,Z [Pending[ - Ongoing advice and unplanned work
"JC OSS - Refactor Learning Material ""story""",To do,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
Research - public sector organization success stories in using OSS for large systems,To do,strategies,,,Z [Pending] Open First Strategy
