Title,Column,Labels,Assignees,Initiative,Milestone
Blog post page: make cards same width and length,Backlog,Website,,,Our Team Continuous Improvement and Administration
Independent Assessment transition approach,Backlog,,,,[Pending] Transition to High Performing Org
Automate generation of PDF and docx for markdown pages,Backlog,Future release,,,Our Team Continuous Improvement and Administration
Send Proposed OCMC Presentation to Director,Backlog,Enabling,,,[Pending] Automate software onboarding
Evolution of Application Catalogue,Backlog,,,,[Pending] Automate software onboarding
"Present books ""The Architecture of Open Source Applications"" to ARC",Backlog,,,,
"Evaluation framework for innovation ",Backlog,"Strategies, Idea, Outreach, Grassroots Program",,,
"Blog - business rules are broken, not the system",Backlog,Blog,,,
Develop measurable performance indicators for PwC recommendations,Backlog,,,,[Pending] Transition to High Performing Org
Get buy-in from S/W onboarding process owner (Enterprise Ops),Backlog,,,,[Pending] Automate software onboarding
PROPOSAL - Presentation that visualizes Loose Coupling Architecture,Backlog,,,,
Create guidance on proper metrics for a given team,Backlog,Future release,,,[Pending] Transition to High Performing Org
Blog - Postmortem: what we learned,Backlog,Blog,,,
Align with PwC recomendations,Backlog,,,,[Pending] Transition to High Performing Org
Blog - loose coupling for the non-techie,Backlog,Blog,,,
Analysis - Project Forecast vs Actuals,Backlog,Initiative: Product Management,remyb2canada,,[Pending] Investigation - Budget (priorities vs focus)
Seek alignment with Resource Centre,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Contact YESS for FY 2022-23 and workshop,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Peer Review - Pilot IITB Procedures for Product Mgt,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Advance Booking for Governance Endorsement,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Book - The Delicate Art of Bureaucracy,Backlog,Initiative: Product Management,remyb2canada,,Product Mgt - Do Research (Ongoing)
Find potential GC departments willing to participate in a pilot,Backlog,Initiative: Software Assessment,ElminaIusifova,,Sharing Software Assessment Pilot - 1. Planning
Present Strategy and pilot proposal to OCMC?,Backlog,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 1. Planning
Prepare written guidance for the repository,Backlog,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 1. Planning
Draft blog post and other comms pieces for launch,Backlog,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 1. Planning
Launch pilot phase 1,Backlog,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 1. Planning
